data,PPL,BLUE
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549596897,2.27,61.9
./Noattention_PI_0.1PS_0.1PD_0.1PS_S0.7_Noisy_model/log_1549596908,1.63,73.0
./Noattention_PI_0.2PS_0.2PD_0.2PS_S0.4_Noisy_model/log_1549596919,1.83,58.2
./Noattention_PI_0.3PS_0.3PD_0.3PS_S0.1_Noisy_model/log_1549596930,2.78,27.7
data,PPL,BLUE
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549597409,2.27,61.9
./Noattention_PI_0.1PS_0.1PD_0.1PS_S0.7_Noisy_model/log_1549597420,1.63,73.0
./Noattention_PI_0.2PS_0.2PD_0.2PS_S0.4_Noisy_model/log_1549597431,1.83,58.2
./Noattention_PI_0.3PS_0.3PD_0.3PS_S0.1_Noisy_model/log_1549597441,2.78,27.7
